bairro,area_m2,quartos,preco,latitude,longitude,zona,preco_m2
Tatuapé,182,3,1314129,-23.57466788645216,-46.74016112502003,Norte,7220.49
Lapa,78,2,1505178,-23.6226461715113,-46.75583787939657,Oeste,19297.15
Santo Amaro,181,3,862335,-23.649180995134934,-46.75326075277382,Leste,4764.28
Perdizes,187,2,1323604,-23.559917809958723,-46.706182933053014,Norte,7078.1
Tatuapé,233,3,988447,-23.590149431586127,-46.67502903025481,Centro,4242.26
Jardins,194,1,948212,-23.630007096869914,-46.71457940076933,Leste,4887.69
Jardins,123,4,1265098,-23.57040356346289,-46.671389121612286,Oeste,10285.35
Pinheiros,66,3,1195697,-23.605508494930227,-46.78351455527757,Norte,18116.62
Lapa,133,3,527082,-23.623307129602967,-46.70188161911068,Leste,3963.02
Vila Mariana,265,4,1442962,-23.611598545026016,-46.673168962083494,Norte,5445.14
Perdizes,118,3,1414027,-23.568802473461542,-46.65381716398586,Norte,11983.28
Moema,83,3,812331,-23.585538456868573,-46.746873357942974,Oeste,9787.12
Moema,55,2,1118741,-23.62837917844854,-46.74553534761821,Sul,20340.75
Perdizes,102,4,1148209,-23.6054226514132,-46.701090624987195,Leste,11256.95
Morumbi,243,1,1078202,-23.550522961354293,-46.660756783327145,Oeste,4437.05
Vila Mariana,254,3,834908,-23.62609907600281,-46.71144433423428,Norte,3287.04
Tatuapé,175,4,798513,-23.553531135494026,-46.69668262425951,Oeste,4562.93
Santo Amaro,284,2,992334,-23.624573378273123,-46.75156809596025,Sul,3494.13
Morumbi,92,1,1351819,-23.570248056016524,-46.7408668874179,Leste,14693.68
Santo Amaro,289,4,1163080,-23.645807348011935,-46.70468905922963,Sul,4024.5
Santo Amaro,252,1,888816,-23.586794075130207,-46.682683883138246,Centro,3527.05
Morumbi,164,1,1231510,-23.58269316163381,-46.798205394923336,Leste,7509.21
Pinheiros,160,1,145437,-23.564888805033245,-46.718100243179414,Sul,908.98
Jardins,298,3,1344630,-23.58056042154902,-46.753241135367034,Norte,4512.18
Santo Amaro,200,3,478086,-23.63766507618282,-46.67108294513675,Leste,2390.43
Morumbi,232,2,891268,-23.649633433762723,-46.722838454948906,Leste,3841.67
Morumbi,129,2,664099,-23.586830953050686,-46.65413050798042,Oeste,5148.05
Itaim Bibi,144,4,611596,-23.594861063095454,-46.72581826768656,Norte,4247.19
Pinheiros,252,2,1348248,-23.622207093820272,-46.79460261106765,Centro,5350.19
Lapa,167,1,859690,-23.638619578046505,-46.70763100694787,Sul,5147.84
Itaim Bibi,193,1,1103951,-23.60930443341868,-46.655849401886236,Oeste,5719.95
Itaim Bibi,57,3,985924,-23.589152569817784,-46.6546433686379,Sul,17296.91
Perdizes,181,1,1143112,-23.59126218408486,-46.70819801399203,Centro,6315.54
Jardins,153,4,1023047,-23.61956181464968,-46.67400374046948,Centro,6686.58
Morumbi,181,1,615102,-23.550321826360427,-46.653502814449226,Leste,3398.35
Jardins,233,1,1298880,-23.611958933745985,-46.763432042092525,Centro,5574.59
Vila Mariana,74,4,851873,-23.585549301044136,-46.718778451332284,Sul,11511.8
Perdizes,244,2,533025,-23.62941973312771,-46.693386715795896,Norte,2184.53
Lapa,145,2,871565,-23.559299063982312,-46.78501247745247,Norte,6010.79
Jardins,244,4,1450228,-23.60882022669484,-46.667420844030076,Leste,5943.56
Moema,204,3,1255067,-23.598097288988612,-46.7933878243433,Sul,6152.29
Santo Amaro,142,1,895404,-23.614232552590522,-46.6970950076066,Sul,6305.66
Vila Mariana,209,4,895223,-23.5564853594483,-46.7832605508463,Centro,4283.36
Pinheiros,227,1,903509,-23.607998378742813,-46.740441431471915,Sul,3980.22
Lapa,110,3,1623024,-23.606148458795953,-46.77400610396122,Oeste,14754.76
Vila Mariana,171,1,1114581,-23.606066009441616,-46.797601974481566,Centro,6518.02
Santo Amaro,100,4,1129012,-23.610348766659644,-46.69326081567281,Oeste,11290.12
Perdizes,196,1,1309085,-23.617646793722635,-46.794170322811134,Leste,6679.01
Santo Amaro,70,2,1071637,-23.630498899968075,-46.70842228423536,Norte,15309.1
Itaim Bibi,54,3,922287,-23.57698207201282,-46.70782678571054,Leste,17079.39
Santo Amaro,259,3,941095,-23.632504941018006,-46.70105806563817,Norte,3633.57
Itaim Bibi,141,3,978520,-23.599825568226343,-46.731211141102136,Leste,6939.86
Perdizes,219,4,988833,-23.557705827913434,-46.673121756476775,Sul,4515.22
Tatuapé,110,3,1218289,-23.5558550929244,-46.7330567228037,Oeste,11075.35
Itaim Bibi,71,2,1015584,-23.583423831869606,-46.7312557218615,Norte,14304.0
Pinheiros,198,4,1219792,-23.628489697711146,-46.76428527189073,Centro,6160.57
Santo Amaro,119,2,975785,-23.62076809347409,-46.77504749429063,Oeste,8199.87
Santo Amaro,50,1,1023591,-23.62886149646724,-46.71606620254686,Centro,20471.82
Pinheiros,182,1,400540,-23.60172690564416,-46.69534998740272,Oeste,2200.77
Moema,282,1,1274898,-23.594019899795548,-46.68890023459756,Oeste,4520.91
Morumbi,61,1,1103947,-23.56474525267063,-46.67919357550573,Leste,18097.49
Tatuapé,139,2,1299403,-23.582819275360933,-46.65864713732985,Norte,9348.22
Lapa,95,4,131123,-23.593401936617386,-46.7013671968252,Norte,1380.24
Itaim Bibi,83,4,1626512,-23.55886004296796,-46.69053715381962,Oeste,19596.53
Pinheiros,226,3,958123,-23.57206119527112,-46.79496260787996,Sul,4239.48
Perdizes,127,2,1332455,-23.609822529406372,-46.7336563239375,Sul,10491.77
Itaim Bibi,267,1,688028,-23.623566311423918,-46.70209155585457,Centro,2576.88
Morumbi,94,2,1183832,-23.649834751139295,-46.73707014014905,Centro,12593.96
Perdizes,204,3,683975,-23.643311333134353,-46.67087950520185,Leste,3352.82
Vila Mariana,122,3,812869,-23.614256519953518,-46.71660656238033,Oeste,6662.86
Santo Amaro,75,2,1574209,-23.59212480532941,-46.743935148213154,Centro,20989.45
Vila Mariana,298,2,942795,-23.61361773647082,-46.723334674768864,Centro,3163.74
Itaim Bibi,96,2,1065230,-23.628565161808023,-46.71026682009815,Oeste,11096.15
Morumbi,170,4,1261020,-23.56183361909234,-46.799077258334954,Leste,7417.76
Tatuapé,263,1,1148705,-23.590990488969627,-46.78204721432234,Centro,4367.7
Itaim Bibi,288,2,1045126,-23.633980228563562,-46.743510893723915,Leste,3628.91
Pinheiros,105,2,1109488,-23.588383295193303,-46.73540660417734,Norte,10566.55
Jardins,143,2,1721025,-23.60718722712272,-46.74309907197369,Leste,12035.14
Itaim Bibi,156,3,982714,-23.60877693608622,-46.680196816173364,Sul,6299.45
Santo Amaro,112,3,1060330,-23.568447625313365,-46.70927066148965,Sul,9467.23
Santo Amaro,97,4,1315196,-23.58622354416523,-46.655918929933634,Leste,13558.72
Itaim Bibi,110,1,1331658,-23.58345112887419,-46.721331905623025,Sul,12105.98
Perdizes,130,4,1356109,-23.552619670853208,-46.73145368759365,Norte,10431.61
Jardins,75,1,1191619,-23.552419176389137,-46.68416246041548,Oeste,15888.25
Pinheiros,85,3,657099,-23.633169704367575,-46.79460432707482,Sul,7730.58
Itaim Bibi,50,3,1490029,-23.577307080997283,-46.786418191640585,Sul,29800.58
Perdizes,57,3,656096,-23.60180787662388,-46.75832148531838,Leste,11510.46
Santo Amaro,162,4,1090791,-23.57987255735888,-46.7300079943148,Norte,6733.28
Santo Amaro,148,2,773717,-23.644067924511532,-46.78049537394715,Oeste,5227.82
Morumbi,229,2,980758,-23.575929675886577,-46.66959785157352,Leste,4282.79
Itaim Bibi,256,3,1098629,-23.592965681273892,-46.76857646914123,Leste,4291.52
Jardins,96,2,1096407,-23.637273025048458,-46.668723122095024,Norte,11420.91
Moema,176,2,1126576,-23.63419335667918,-46.769131599382405,Oeste,6401.0
Jardins,105,4,1484113,-23.568610141784628,-46.6913651352377,Norte,14134.41
Santo Amaro,263,1,1136060,-23.63026433097957,-46.781563587152725,Oeste,4319.62
Santo Amaro,63,3,926753,-23.595818688673788,-46.79160631407381,Norte,14710.37
Vila Mariana,267,3,1289226,-23.598296887208534,-46.67231939541077,Leste,4828.56
Santo Amaro,77,4,1356841,-23.563347997241596,-46.71940134075981,Leste,17621.31
Pinheiros,264,4,631718,-23.558060151375713,-46.7971481067244,Centro,2392.87
Lapa,127,2,1179220,-23.622793930697377,-46.72251111539597,Sul,9285.2
Itaim Bibi,265,3,1210352,-23.59964611523553,-46.77953212837718,Norte,4567.37
Jardins,179,1,910731,-23.593685070261518,-46.7383097283197,Centro,5087.88
Lapa,158,4,1412712,-23.62295082286524,-46.70629948618794,Sul,8941.22
Perdizes,203,1,954983,-23.62655128989911,-46.69286753332888,Norte,4704.35
Moema,63,1,1037673,-23.565890816766935,-46.68048346366291,Oeste,16471.0
Pinheiros,236,3,948078,-23.611022514947763,-46.76426972870665,Sul,4017.28
Jardins,105,3,1004674,-23.563535408227768,-46.70798107602345,Leste,9568.32
Lapa,164,4,671117,-23.625137508602904,-46.72669131933011,Centro,4092.18
Moema,56,3,567985,-23.61569551562671,-46.72384882200018,Sul,10142.59
Vila Mariana,52,3,1478352,-23.645661462108343,-46.73659185438497,Sul,28429.85
Pinheiros,160,3,745912,-23.556895801635644,-46.77983657184368,Leste,4661.95
Pinheiros,200,1,702582,-23.555705472115125,-46.797110901537515,Norte,3512.91
Vila Mariana,287,4,353983,-23.57821870746932,-46.71113763128607,Oeste,1233.39
Itaim Bibi,156,2,808311,-23.57617056837359,-46.77412783831594,Leste,5181.48
Vila Mariana,288,1,603073,-23.574697879907202,-46.7646791691982,Oeste,2094.0
Pinheiros,286,3,1492605,-23.640625458052103,-46.73602934271833,Norte,5218.9
Pinheiros,67,1,1302945,-23.57495461998495,-46.793407071541786,Sul,19446.94
Lapa,299,3,793555,-23.577194972612862,-46.68007117732926,Oeste,2654.03
Santo Amaro,87,3,1675731,-23.625939826241794,-46.666389631546444,Centro,19261.28
Moema,276,1,1294530,-23.594973984245055,-46.77809429504331,Centro,4690.33
Vila Mariana,164,4,902551,-23.62767105569552,-46.71587247249506,Leste,5503.36
Moema,64,3,250178,-23.55653661575644,-46.77704532813106,Norte,3909.03
Vila Mariana,241,4,1687283,-23.598757119367338,-46.78396353077931,Leste,7001.17
Perdizes,266,2,583128,-23.55336136001833,-46.65936863904286,Leste,2192.21
Pinheiros,168,3,506380,-23.556265320345535,-46.78251971444791,Leste,3014.17
Santo Amaro,278,4,1306771,-23.64064374533444,-46.71724785830541,Centro,4700.62
Lapa,77,4,1731926,-23.56392453711176,-46.72656487335063,Centro,22492.55
Santo Amaro,251,2,1415282,-23.603242068227523,-46.74398887666398,Leste,5638.57
Santo Amaro,88,4,1169173,-23.59110956026007,-46.78895739100951,Centro,13286.06
Santo Amaro,234,4,1178426,-23.584734332625885,-46.65286741416446,Norte,5036.01
Moema,66,2,1256025,-23.639983334568726,-46.72152652024767,Leste,19030.68
Vila Mariana,280,3,1227679,-23.55218233967755,-46.75315830636458,Centro,4384.57
Tatuapé,135,4,1084357,-23.616378968617557,-46.75840604365473,Oeste,8032.27
Perdizes,267,4,1031260,-23.646339443421354,-46.753879864730564,Leste,3862.4
Jardins,175,4,981222,-23.606016818346184,-46.670165269411214,Leste,5606.98
Santo Amaro,93,1,773811,-23.64368224620331,-46.69490933825575,Norte,8320.55
Itaim Bibi,74,2,915797,-23.555225787928602,-46.70380732881255,Sul,12375.64
Moema,194,1,492113,-23.591879331907418,-46.770665581151924,Sul,2536.66
Lapa,62,2,970498,-23.576015779096206,-46.69181398086218,Norte,15653.19
Jardins,261,3,703423,-23.623082096498074,-46.68160574458008,Norte,2695.11
Tatuapé,74,3,668923,-23.648129709049723,-46.793617202855714,Norte,9039.5
Itaim Bibi,117,4,1053968,-23.575653006244426,-46.65132949276702,Sul,9008.27
Tatuapé,187,2,1417601,-23.615417460147405,-46.799673128352296,Norte,7580.75
Jardins,116,3,1275495,-23.569809763275973,-46.75152319482861,Centro,10995.65
Santo Amaro,282,2,528850,-23.60653302545716,-46.774270394917366,Leste,1875.35
Itaim Bibi,158,3,703112,-23.596393248668832,-46.69419290945193,Leste,4450.08
Tatuapé,195,1,1282231,-23.64720053296315,-46.65214729165006,Oeste,6575.54
Lapa,160,3,705254,-23.610852727269645,-46.76068042778423,Oeste,4407.84
Vila Mariana,277,1,932610,-23.58495063720868,-46.7751216895501,Leste,3366.82
Pinheiros,160,3,1165016,-23.561409578488792,-46.761071419793026,Centro,7281.35
Vila Mariana,263,4,709497,-23.565124682873495,-46.67142754309513,Sul,2697.71
Jardins,83,1,1031613,-23.572531692995124,-46.763014188338545,Sul,12429.07
Moema,160,3,599792,-23.57509666613403,-46.765338417316144,Centro,3748.7
Pinheiros,57,4,819590,-23.635061605784113,-46.74878107735051,Sul,14378.77
Perdizes,217,1,1095935,-23.606122278828252,-46.76491738991933,Norte,5050.39
Lapa,162,4,522102,-23.602339091137438,-46.77688821595166,Leste,3222.85
Perdizes,285,2,1132142,-23.561476887186924,-46.742040617135615,Leste,3972.43
Itaim Bibi,132,2,994109,-23.636013969334943,-46.66329070709545,Centro,7531.13
Pinheiros,91,1,1165747,-23.622281430320847,-46.72314417145008,Sul,12810.41
Perdizes,218,3,1067174,-23.55676683619,-46.66164740020074,Oeste,4895.29
Perdizes,150,1,1409242,-23.620783509722976,-46.71113145465486,Oeste,9394.95
Tatuapé,55,4,1037567,-23.604353821734264,-46.71106597336884,Sul,18864.85
Vila Mariana,229,3,871178,-23.558172534574677,-46.65990147662104,Oeste,3804.27
